bn:00000004n	0 cero cifra numero_0 número_0 función_cero nada
bn:00000005n	1 uno dos es i +1 +_1 numero_1 número_1 μόνος as identidad_multiplicativa n-tupla sextuplicado tupla tuplas unidad
bn:00000008n	diez 10 decena década número_10 x ⅹ
bn:00000009n	100 cien ciento centenar siglo 10 centesimo un_c
bn:00000010n	mil 1000 chiliad millar 1100 1200 un_mil 10 1111101000 milenta tú
bn:00000013n	1000000 millón millon meg 1.000.000 1,000,000 10^6 1_000_000 1_millon 1_millón mil_millares millones un_mil_mil
bn:00000020n	12 doce docena doze xii duodecimo duodécimo
bn:00000024n	14 catorce quatorze xiv catorce_son_las_copas_de_europa_que_ha_ganado_el_real_madrid_y_14_los_roland_garros_de_rafa_nadal.
bn:00000027n	15 quince xv
bn:00000031n	cuarto_de_hora 15_minutos
bn:00000032n	16 dieciséis dieciseis xvi número_16 2⁴
bn:00000034n	17 diecisiete xvii
bn:00000052n	19 diecinueve xix
bn:00000058n	1960s años_1960 década_de_1960 los_años_sesenta los_sesenta '60 década_del_60 anos_1960 broken/anos_sesenta broken/años_sesenta broken_anos_sesenta broken_años_sesenta decada_de_1960 decada_del_60 música_de_los_60's sesentera sesenteras sesentero sesenteros 1960 sesenta
bn:00000075n	2 dos ii segunda segundo 2! numero_2 número_2 raíz_cuadrada_de_4 two
bn:00000079n	20 veinte vigesimo vigésimo xx
bn:00000081n	21 veintiuno xxi veintiun veintiún vigesimo_primero vigésimo_primero ventiuno
bn:00000082n	22 veintidós xxii veintidos ventidos ventidós
bn:00000085n	24 veinticuatro xxiv 4! venticuatro dos_docenas_de
bn:00000086n	día día_solar días dias día_solar_medio 24-horas_intervalo día_de_sol veinticuatro_horas veinticuatro_horas_período
bn:00000089n	25 veinticinco xxv venticinco vigesimo_quinto vigésimo_quinto 11001
bn:00000092n	28 veintiocho xxviii vigesimo_octavo vigésimo_octavo xviii ventiocho
bn:00000093n	29 veintinueve xxix vigesimo_noveno vigésimo_noveno ventinueve
bn:00000100n	tres 3 terceto ternion trey troika trío triada iii tercera tercero numero_3 número_3 deuce-as ternario terzetto trine
bn:00000104n	30 treinta trigesimo trigésimo xxx
bn:00000105n	media_hora 30_minutos media-hora
bn:00000111n	4 cuatro cuaternión cinco cuarteto cuarta cuarto iv 2 numero_4 número_4 tetra cuaterna cuaternidad cuaternio cuaterniones little_joe tetractys tétrada
bn:00000119n	5 cinco cinque quint quinto v numero_5 número_5 pentad poco_phoebe
bn:00000123n	50 cincuenta cinco
