bn:00000004n	صفر
bn:00000005n	ایک
bn:00000008n	دس
bn:00000009n	سینکڑوں
bn:00000010n	ہزار
bn:00000016n	ارب
bn:00000020n	بارہ
bn:00000020n	جن
bn:00000023n	تیرہ
bn:00000027n	پندرہ
bn:00000075n	دو
bn:00000079n	بیس
bn:00000086n	دن
bn:00000086n	روز
bn:00000100n	تین
bn:00000111n	چار
bn:00000119n	پانچ
bn:00000127n	وقت
bn:00000127n	گھنٹہ
bn:00000127n	گھڑی
bn:00000129n	سات
bn:00000138n	نو
bn:00000216n	ذلت
bn:00000249n	پیٹ
bn:00000266n	اغوا
bn:00000301n	رہائش
bn:00000317n	صلاحیت
bn:00000318n	صلاحیت
bn:00000318n	طاقت
bn:00000343n	انکار
bn:00000355n	رہائش
bn:00000355n	گاہ
bn:00000355n	گھر
bn:00000356n	جگہ
bn:00000356n	منزل
bn:00000356n	مکان
bn:00000356n	گھر
bn:00000367n	باشندہ
bn:00000372n	حمل
bn:00000392n	خراش
bn:00000395n	سختی
bn:00000427n	عدم
bn:00000427n	موجودگی
bn:00000428n	موجودگی
bn:00000440n	مطلق
bn:00000445n	اکثریت
bn:00000449n	حرارت
bn:00000459n	آمریت
bn:00000459n	ظلم
bn:00000471n	جذب
bn:00000472n	جذب
bn:00000489n	خاکہ
bn:00000494n	استدلال
bn:00000517n	کثرت
bn:00000521n	توہین
bn:00000554n	ڈگری
bn:00000638n	لہجہ
bn:00000639n	زور
bn:00000639n	لہجہ
bn:00000640n	بولی
bn:00000641n	دباؤ
bn:00000641n	زور
bn:00000641n	کشیدگی
bn:00000648n	قبولیت
bn:00000649n	قبولیت
bn:00000650n	قبولیت
bn:00000651n	قبولیت
bn:00000663n	قریب
bn:00000690n	حادثہ
bn:00000691n	اتفاق
bn:00000691n	حادثہ
bn:00000694n	زخم
bn:00000694n	چوٹ
bn:00000703n	اضافہ
bn:00000704n	اعزاز
bn:00000716n	ساتھ
bn:00000717n	حمایت
bn:00000717n	ساتھ
bn:00000724n	حصول
bn:00000724n	کامیابی
bn:00000725n	مہارت
bn:00000725n	پیشہ
bn:00000725n	ہنر
bn:00000726n	اتفاق
bn:00000726n	معاہدہ
bn:00000728n	معاہدہ
bn:00000738n	بیان
bn:00000738n	تاریخ
bn:00000738n	کہانی
bn:00000739n	بیان
bn:00000739n	حساب
bn:00000739n	خبر
bn:00000739n	رپورٹ
bn:00000739n	کہانی
bn:00000741n	بیان
bn:00000741n	وضاحت
bn:00000743n	حساب
bn:00000745n	خبر
bn:00000745n	رپورٹ
bn:00000746n	حساب
bn:00000759n	اندراج
bn:00000775n	ثقافت
bn:00000777n	مجموعہ
bn:00000782n	حقیقت
bn:00000782n	سچ
bn:00000784n	الزام
bn:00000790n	ستارہ
bn:00000825n	تلخی
bn:00000859n	درد
bn:00000870n	کامیابی
bn:00000902n	تیزاب
bn:00000937n	شناخت
bn:00000937n	پہچان
bn:00000939n	حوالہ
bn:00000939n	ذکر
bn:00000942n	اونچائی
bn:00000942n	چوٹی
bn:00000943n	چوٹی
bn:00000990n	واقفیت
bn:00000991n	واقفیت
bn:00001005n	حصول
bn:00001019n	زمین
bn:00001077n	عمل
bn:00001078n	عمل
bn:00001079n	اداکاری
bn:00001079n	عمل
bn:00001092n	اداکاری
bn:00001127n	اثر
bn:00001127n	اقدام
bn:00001127n	عمل
bn:00001127n	کارروائی
bn:00001127n	کام
bn:00001128n	اثر
bn:00001128n	حرکت
bn:00001128n	سرگرمی
bn:00001128n	عمل
bn:00001128n	کارروائی
bn:00001128n	کام
bn:00001129n	عمل
bn:00001129n	کار
bn:00001129n	کارروائی
bn:00001130n	عمل
bn:00001130n	کارروائی
bn:00001134n	کارروائی
bn:00001172n	سرگرمی
bn:00001173n	سرگرمی
bn:00001176n	اداکار
bn:00001176n	کھلاڑی
bn:00001181n	اداکارہ
bn:00001227n	اشتہار
bn:00001236n	کہاوت
bn:00001252n	ہیرا
bn:00001276n	اضافہ
bn:00001279n	ضمیمہ
bn:00001293n	اضافہ
bn:00001294n	اضافہ
bn:00001294n	منافع
bn:00001302n	پتہ
bn:00001303n	پتہ
bn:00001304n	تقریر
bn:00001304n	خطاب
bn:00001305n	خطاب
bn:00001360n	پابندی
bn:00001362n	شاگرد
bn:00001386n	چربی
bn:00001395n	صفت
bn:00001396n	صفت
bn:00001410n	تبدیلی
bn:00001410n	ترمیم
bn:00001422n	انتظامیہ
bn:00001423n	ادارہ
bn:00001423n	انتظامیہ
bn:00001423n	تنظیم
bn:00001425n	انتظامیہ
bn:00001425n	صدارت
bn:00001426n	حکومت
bn:00001434n	منتظم
bn:00001435n	منتظم
bn:00001453n	تعریف
bn:00001454n	تعجب
bn:00001454n	حیرت
bn:00001455n	قدر
bn:00001456n	حامی
bn:00001460n	بار
bn:00001460n	داخلہ
bn:00001469n	انتباہ
bn:00001469n	نصیحت
bn:00001472n	ہلچل
bn:00001530n	عورت
bn:00001533n	آدم
bn:00001533n	آدمی
bn:00001533n	انسان
bn:00001533n	مرد
bn:00001544n	پختگی
bn:00001548n	ترقی
bn:00001548n	پیش
bn:00001549n	بہتری
bn:00001549n	میں
bn:00001551n	ترقی
bn:00001557n	ترقی
bn:00001557n	رفت
bn:00001557n	پیش
bn:00001559n	فائدہ
bn:00001589n	اشتہار
bn:00001592n	مشورہ
bn:00001592n	نصیحت
bn:00001598n	مشیر
bn:00001602n	وکالت
bn:00001603n	وکیل
bn:00001697n	جہاز
bn:00001734n	بات
bn:00001734n	معاملہ
bn:00001734n	چیز
bn:00001735n	رابطہ
bn:00001735n	معاملہ
bn:00001736n	معاملہ
bn:00001736n	موقع
bn:00001740n	اثر
bn:00001744n	محبت
bn:00001763n	رشتہ
bn:00001785n	دولت
bn:00001793n	خوف
bn:00001793n	دہشت
bn:00001796n	افغان
bn:00001867n	اثر
bn:00001874n	نتیجہ
bn:00001875n	پہر
bn:00001877n	چائے
bn:00001887n	چاندی
bn:00001936n	عمر
bn:00001937n	دور
bn:00001937n	زمانہ
bn:00001937n	عمر
bn:00001938n	عمر
bn:00001961n	دفتر
bn:00001961n	ذریعہ
bn:00001961n	عہدہ
bn:00001965n	اوقات
bn:00001965n	ذریعہ
bn:00001965n	راستہ
bn:00001965n	طرح
bn:00001965n	طریقہ
bn:00001965n	طور
bn:00001967n	بندی
bn:00001967n	میں
bn:00001972n	ایجنٹ
bn:00001973n	ایجنٹ
bn:00001974n	ایجنٹ
bn:00001975n	ایجنٹ
bn:00001992n	ڈھیر
bn:00002012n	جمع
bn:00002014n	جارحیت
bn:00002015n	جارحیت
bn:00002016n	جارحیت
bn:00002021n	آور
bn:00002032n	جوش
bn:00002071n	عذاب
bn:00002072n	تکلیف
bn:00002072n	مصیبت
bn:00002086n	معاہدہ
bn:00002087n	اتفاق
bn:00002087n	مطابقت
bn:00002087n	معاہدہ
bn:00002088n	انتظامات
bn:00002088n	معاہدہ
bn:00002091n	زراعت
bn:00002096n	زراعت
bn:00002154n	امداد
bn:00002154n	مدد
bn:00002155n	امداد
bn:00002155n	مدد
bn:00002156n	امداد
bn:00002156n	مدد
bn:00002157n	احتیاط
bn:00002157n	توجہ
bn:00002157n	خیال
bn:00002171n	شکایت
bn:00002178n	ارادہ
bn:00002178n	مقصد
bn:00002178n	نیت
bn:00002178n	کام
bn:00002179n	مقصد
bn:00002179n	ہدف
bn:00002180n	مقصد
bn:00002189n	فضا
bn:00002189n	ماحول
bn:00002216n	ہوا
bn:00002275n	جہاز
bn:00002306n	جہاز
bn:00002315n	پٹی
bn:00002410n	انتباہ
bn:00002519n	شراب
bn:00002714n	عذر
bn:00002715n	عذر
bn:00002726n	اجنبی
bn:00002761n	جان
bn:00002761n	حیات
bn:00002761n	زندگی
bn:00002819n	وعدہ
bn:00002819n	وفاداری
bn:00002822n	مثال
bn:00002848n	راحت
bn:00002851n	گلی
bn:00002946n	حوالہ
bn:00002954n	سیلاب
bn:00002956n	دوست
bn:00002966n	خالق
bn:00002966n	خداوند
bn:00002966n	رب
bn:00002966n	مالک
bn:00003005n	فاصلہ
bn:00003057n	حرف
bn:00003125n	تبدیلی
bn:00003126n	ثانی
bn:00003126n	نظر
bn:00003132n	اختیار
bn:00003132n	انتخاب
bn:00003164n	التحصیل
bn:00003200n	نوکرانی
bn:00003242n	حیرت
bn:00003251n	سفیر
bn:00003263n	فضا
bn:00003263n	ماحول
bn:00003268n	دائرہ
bn:00003268n	مدار
bn:00003268n	پہنچنا
bn:00003269n	خواب
bn:00003341n	امریکہ
bn:00003342n	امریکہ
bn:00003537n	دوستی
bn:00003543n	بارود
bn:00003543n	گولا
bn:00003601n	رقم
bn:00003601n	مقدار
bn:00003602n	تعداد
bn:00003602n	رقم
bn:00003602n	مقدار
bn:00003603n	اقدام
bn:00003603n	مقدار
bn:00003604n	رقم
bn:00003604n	مقدار
bn:00003664n	فائدہ
bn:00003793n	تجزیہ
bn:00003794n	تجزیہ
bn:00003795n	تجزیہ
bn:00003801n	تجزیہ
bn:00003801n	کار
bn:00003810n	یاد
bn:00003879n	ساخت
bn:00003879n	ڈھانچہ
bn:00003882n	شکل
bn:00003882n	گوشت
bn:00003893n	خون
bn:00003893n	نسب
bn:00003895n	لنگر
bn:00003896n	ریڑھ
bn:00003896n	لنگر
bn:00004063n	فرشتہ
bn:00004085n	غصہ
bn:00004086n	غصہ
bn:00004117n	زاویہ
bn:00004118n	زاویہ
bn:00004188n	شکنجہ
bn:00004188n	عذاب
bn:00004222n	جانور
bn:00004264n	سرگرمی
bn:00004273n	دشمنی
bn:00004339n	سالگرہ
bn:00004350n	میں
bn:00004352n	اعلان
bn:00004353n	اعلان
bn:00004451n	جواب
bn:00004452n	جواب
bn:00004452n	حل
bn:00004452n	نتائج
bn:00004452n	نتیجہ
bn:00004453n	جواب
bn:00004630n	مذاق
bn:00004630n	چال
bn:00004638n	پیش
bn:00004639n	توقع
bn:00004801n	اضطراب
bn:00004801n	پریشانی
bn:00004802n	پریشانی
bn:00004840n	رخی
bn:00005007n	لباس
bn:00005011n	افق
bn:00005012n	تحریک
bn:00005012n	حرکت
bn:00005015n	سایہ
bn:00005017n	اپیل
bn:00005017n	دعا
bn:00005018n	اپیل
bn:00005018n	میں
bn:00005019n	اپیل
bn:00005020n	مجموعہ
bn:00005023n	شکل
bn:00005023n	ظہور
bn:00005024n	شکل
bn:00005025n	حاضری
bn:00005026n	شکل
bn:00005027n	شکل
bn:00005032n	نام
bn:00005033n	رکن
bn:00005043n	ضمیمہ
bn:00005054n	سیب
bn:00005091n	والا
bn:00005092n	استعمال
bn:00005111n	تاریخ
bn:00005121n	تخمینہ
bn:00005123n	کار
bn:00005125n	قبضہ
bn:00005125n	قدر
bn:00005126n	ذائقہ
bn:00005133n	خطرہ
bn:00005136n	گرفتاری
bn:00005137n	شاگرد
bn:00005141n	حملہ
bn:00005142n	آمد
bn:00005142n	قریب
bn:00005158n	منظوری
bn:00005158n	نعمت
bn:00005159n	منظوری
bn:00005160n	منظوری
bn:00005164n	اندازہ
bn:00005164n	تخمینہ
bn:00005168n	سامان
bn:00005169n	اپریل
bn:00005361n	قوس
bn:00005362n	قوس
bn:00005380n	ڈگری
bn:00005435n	معمار
bn:00005439n	منصوبہ
bn:00005439n	نقشہ
bn:00005441n	تعمیر
bn:00005442n	تعمیر
bn:00005443n	تعمیر
bn:00005509n	جوش
bn:00005511n	آگ
bn:00005513n	زمین
bn:00005513n	علاقہ
bn:00005513n	ملک
bn:00005514n	علاقہ
bn:00005515n	خطہ
bn:00005515n	علاقہ
bn:00005516n	دائرہ
bn:00005516n	شعبہ
bn:00005516n	علاقہ
bn:00005516n	مدار
bn:00005516n	میدان
bn:00005517n	علاقہ
bn:00005518n	علاقہ
bn:00005518n	وسعت
bn:00005599n	بحث
bn:00005599n	تنازعہ
bn:00005599n	دلیل
bn:00005600n	بحث
bn:00005600n	بیان
bn:00005600n	دلیل
bn:00005601n	بحث
bn:00005601n	مباحثہ
bn:00005602n	بحث
bn:00005605n	سلسلہ
bn:00005605n	لائن
bn:00005605n	میں
bn:00005633n	خشکی
bn:00005659n	اشرافیہ
bn:00005674n	ارسطو
bn:00005676n	حساب
bn:00005702n	بازو
bn:00005702n	کمر
bn:00005702n	ہاتھ
bn:00005703n	بازو
bn:00005704n	اسلحہ
bn:00005704n	ہتھیار
bn:00005705n	بازو
bn:00005706n	شاخ
bn:00005729n	کرسی
bn:00005731n	جنگ
bn:00005731n	میں
bn:00005732n	فوجی
bn:00005737n	خدمت
bn:00005803n	فوج
bn:00005804n	فوج
bn:00005813n	جھونپڑی
bn:00005845n	خوشبو
bn:00005846n	خوشبو
bn:00005862n	انتظامات
bn:00005862n	ترتیب
bn:00005863n	انتظامات
bn:00005863n	ترتیب
bn:00005863n	تنظیم
bn:00005863n	نظام
bn:00005864n	ترتیب
bn:00005865n	انتظامات
bn:00005885n	آمد
bn:00005887n	آمد
bn:00005896n	تیر
bn:00005913n	دم
bn:00005913n	نشست
bn:00005913n	پیچھے
bn:00005926n	فن
bn:00005927n	فن
bn:00005928n	فن
bn:00005929n	فن
bn:00006121n	مضامین
bn:00006121n	مضمون
bn:00006122n	چیز
bn:00006125n	لباس
bn:00006125n	کپڑا
bn:00006128n	یقین
bn:00006140n	گھٹنا
bn:00006143n	کلائی
bn:00006150n	آواز
bn:00006157n	ہنر
bn:00006172n	توپ
bn:00006173n	توپ
bn:00006174n	توپ
bn:00006174n	ہتھیار
bn:00006182n	کار
bn:00006188n	معصومیت
bn:00006248n	تسلط
bn:00006248n	غلبہ
bn:00006248n	میں
bn:00006253n	اضافہ
bn:00006258n	عروج
bn:00006362n	میں
bn:00006382n	پہلو
bn:00006383n	پہلو
bn:00006384n	منظر
bn:00006384n	نظارہ
bn:00006384n	نظر
bn:00006384n	پہلو
bn:00006386n	نظر
bn:00006386n	چہرہ
bn:00006461n	قاتل
bn:00006466n	حملہ
bn:00006467n	حملہ
bn:00006479n	اجتماع
bn:00006481n	اجتماع
bn:00006502n	فیصلہ
bn:00006504n	اثاثہ
bn:00006515n	عطیہ
bn:00006521n	طالب
bn:00006522n	مدد
bn:00006523n	مدد
bn:00006531n	ساتھی
bn:00006532n	ساتھی
bn:00006539n	انجمن
bn:00006540n	انجمن
bn:00006542n	انجمن
bn:00006555n	بندی
bn:00006555n	درجہ
bn:00006558n	مفروضہ
bn:00006559n	خود
bn:00006565n	اختیار
bn:00006565n	اعتماد
bn:00006565n	دہانی
bn:00006565n	یقین
bn:00006566n	یقین
bn:00006567n	یقین
bn:00006605n	ستارہ
bn:00006663n	فلکیات
bn:00006701n	امن
bn:00006752n	میدان
bn:00006759n	کھیل
bn:00006803n	فضا
bn:00006803n	ماحول
bn:00006806n	ماحول
bn:00006807n	فضا
bn:00006808n	موسم
bn:00006815n	ذرہ
bn:00006859n	تانبہ
bn:00006992n	بانڈز
bn:00006994n	حملہ
bn:00006995n	حملہ
bn:00006996n	حملہ
bn:00006997n	حملہ
bn:00006997n	کوشش
bn:00006998n	حملہ
bn:00007011n	کوشش
bn:00007013n	حاضری
bn:00007017n	نوکر
bn:00007020n	توجہ
bn:00007021n	توجہ
bn:00007022n	توجہ
bn:00007023n	توجہ
bn:00007024n	توجہ
bn:00007032n	گواہ
bn:00007046n	لباس
bn:00007047n	رویہ
bn:00007048n	رویہ
bn:00007051n	وکیل
bn:00007061n	کشش
bn:00007062n	کشش
bn:00007064n	کشش
bn:00007067n	صفات
bn:00007068n	صفات
bn:00007070n	توبہ
bn:00007098n	سماعت
bn:00007099n	انٹرویو
bn:00007099n	مشاورت
bn:00007099n	مشورہ
bn:00007101n	آواز
bn:00007134n	آواز
bn:00007140n	اگست
bn:00007146n	صفر
bn:00007182n	خالہ
bn:00007184n	ہالہ
bn:00007188n	تاج
bn:00007190n	کان
bn:00007205n	صبح
bn:00007286n	صداقت
bn:00007287n	مصنف
bn:00007287n	نگار
bn:00007288n	مصنف
bn:00007292n	اختیار
bn:00007293n	اختیار
bn:00007293n	اقتدار
bn:00007294n	اختیار
bn:00007299n	حکومت
bn:00007299n	سرکاری
bn:00007300n	اختیار
bn:00007301n	اختیار
bn:00007306n	تحریر
bn:00007309n	گاڑی
bn:00007329n	بس
bn:00007335n	ظالم
bn:00007366n	کاری
bn:00007389n	آزادی
bn:00007389n	خودمختاری
bn:00007406n	خزاں
bn:00007427n	مدد
bn:00007434n	لالچ
bn:00007449n	اوسط
bn:00007449n	معیار
bn:00007481n	شوق
bn:00007496n	انعام
bn:00007496n	فیصلہ
bn:00007497n	انعام
bn:00007497n	انعامات
bn:00007498n	واقفیت
bn:00007528n	اصول
bn:00007530n	محور
bn:00007536n	محور
bn:00007630n	بچہ
bn:00007675n	بچپن
bn:00007699n	تمباکو
bn:00007727n	پیٹھ
bn:00007727n	پیچھے
bn:00007728n	پیچھے
bn:00007729n	پیٹھ
bn:00007729n	پیچھے
bn:00007767n	ریڑھ
bn:00007781n	منظر
bn:00007782n	زمین
bn:00007782n	منظر
bn:00007783n	منظر
bn:00007784n	منظر
bn:00007785n	منظر
bn:00007786n	منظر
bn:00007797n	حمایت
bn:00007837n	راحت
bn:00007875n	برائی
bn:00007884n	بدقسمتی
bn:00007885n	بدقسمتی
bn:00007886n	بدقسمتی
bn:00007896n	نشان
bn:00007912n	شدت
bn:00007922n	تھیلی
bn:00007924n	بنیاد
bn:00007927n	قبضہ
bn:00007940n	سامان
bn:00007985n	شعبہ
bn:00007985n	ضبط
bn:00007985n	مضمون
bn:00007985n	مطالعہ
bn:00007985n	موضوع
bn:00007985n	میدان
bn:00007998n	دام
bn:00008043n	توازن
bn:00008044n	توازن
bn:00008045n	توازن
bn:00008047n	باقی
bn:00008120n	گیند
bn:00008121n	گیند
bn:00008122n	گیند
bn:00008127n	ٹکڑا
bn:00008141n	کلب
bn:00008250n	دھماکا
bn:00008279n	حلقہ
bn:00008279n	گروہ
bn:00008333n	دھماکا
bn:00008334n	دھماکا
bn:00008363n	بینک
bn:00008364n	بینک
bn:00008365n	بینک
bn:00008433n	دعوت
bn:00008433n	ضیافت
bn:00008463n	خانہ
